packageName,policyEntity,policyAction,policyData,policySentences,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
co.touchlab.android.onesecondeveryday,third party,collect,information about you,Clicking on those links or enabling those connections may allow third parties to collect or share data about you.,N1,third party,not_collect,pii,"However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,third party,not_collect,pii,"However, please know we do not currently disclose personal information to third parties for their direct marketing purposes.||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users.",C1,third party,collect,pii,"We share your Personal Data with our affiliates, external service providers, third party vendors, and associates as necessary to perform transactions with you and manage our business.||We may share your personal data with the parties set out below for the purposes set out in the App User's Personal Data Usage Table and Website User's Personal Data Usage Table above.||We do not allow our third-party service providers to use your personal data for their own purposes and only permit them to process your personal data for specified purposes and in accordance with our instructions."
co.touchlab.android.onesecondeveryday,we,collect,demographic information,"We also collect, use and share Aggregated Data such as statistical or demographic data for any purpose.",C6,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
co.touchlab.android.onesecondeveryday,we,collect,profile information,"We may use your Identity, Contact, Technical, Usage, Profile, and Marketing and Communications Data to form a view on what we think you may want or need, or what may be of interest to you.",C6,we,not_collect,pii,"Where we need to collect personal data by law, or under the terms of a contract we have with you, and you fail to provide that data when requested, we may not be able to perform the contract we have or are trying to enter into with you (for example, to provide you with goods or services).||Note that if you share your personal data on our Site or through our Services by making public postings or sharing content such as videos or journal entries, we cannot control what other users you share that data with will do with it and even after we delete our copies of it, it may still be viewable in cached or archived pages or as copies made by users."
com.asmodeedigital.spotitduel,we,collect,pii,"We collect the following Personal Data about you: identifying information, such as your first and last name, pseudonym, date of birth, and gender,||With whom do we share your Personal Data?||We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.||Each of these rights is further detailed below we may continue to use your Personal Data following a request for restriction in the following cases; with your consent: to establish, exercise or defend legal claims; or to protect the rights of any other person or entity.",C1,we,not_collect,pii,"We do not collect any Personal Data that is considered ""sensitive"" under the Personal Data Regulations, in particular data relating to your state of health or that would reveal your alleged racial or ethnic origin, your political views, your religious or philosophical beliefs, or your trade union membership."
com.asmodeedigital.spotitduel,we,not_collect,pii,"We do not collect any Personal Data that is considered ""sensitive"" under the Personal Data Regulations, in particular data relating to your state of health or that would reveal your alleged racial or ethnic origin, your political views, your religious or philosophical beliefs, or your trade union membership.",C1,we,collect,pii,"We collect the following Personal Data about you: identifying information, such as your first and last name, pseudonym, date of birth, and gender,||With whom do we share your Personal Data?||We may share your Personal Data with different types of recipients, especially with our Partners, in order to provide you with the Services internal recipients.||Each of these rights is further detailed below we may continue to use your Personal Data following a request for restriction in the following cases; with your consent: to establish, exercise or defend legal claims; or to protect the rights of any other person or entity."
com.js.ludo,we,collect,pii,"In the case we discover that a child under 13 has provided me with personal information, we immediately delete this from our servers.||If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions.",C1,we,not_collect,pii,We do not directly collect any personally identifiable information from you.
com.js.ludo,we,not_collect,pii,We do not directly collect any personally identifiable information from you.,C1,we,collect,pii,"In the case we discover that a child under 13 has provided me with personal information, we immediately delete this from our servers.||If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions."
ipnossoft.rma.free,we,collect,device information,"you access or use the App or Web, we may automatically collect the following information: device Information: unique device identifiers (e.g. IDFA).||you access or use the App or Web, we may automatically collect the following information: device Information: device storage information.||you access or use the App or Web, we may automatically collect the following information: device Information: app information (like App version, SDKs version, etc)||you access or use the App or Web, we may automatically collect the following information: device Information: hardware model.||you access or use the App or Web, we may automatically collect the following information: device Information: information about the operating system and its version.||you access or use the App or Web, we may automatically collect the following information: device Information: browsers information (for Web).||you access or use the App or Web, we may automatically collect the following information: device Information: mobile network information.",C6,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,collect,pii,"We may use or disclose the personal information we collect for one or more of the following purposes: to personalize your app or website experience and to deliver content and product and service offerings relevant to your interests, including targeted offers and ads through third-party sites, and via email or text message (with your consent, where required by law).||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Your subscription status;||When you sign up to use the App, we may collect Personal Data about you such as name you assign to your account.||Do we share my personal data with third-parties?||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you if we sold or disclosed your personal information for a business purpose, two separate lists disclosing:||In the preceding twelve months, we have disclosed personal information for a business purpose to the categories of third parties indicated in the chart below.||We obtain the categories of personal information listed above from the following categories of sources: indirectly from you.||When you sign up to use the App, we may collect Personal Data about you such as email address you assign to your account; and||We may use or disclose the personal information we collect for one or more of the following purposes: to provide, support, personalize, and develop our website, Apps, products, and services.||We may use or disclose the personal information we collect for one or more of the following purposes: to help maintain the safety, security, and integrity of our website, products and services, databases and other technology assets, and business.||In particular, we have collected the following categories of personal information from consumers within the last twelve months: category.||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of third parties with whom we share that personal information.||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: The fact of application launch.||You have the right to request that we disclose certain information to you about our collection and use of your personal information over the past 12 months (the ""right to know"").||We obtain the categories of personal information listed above from the following categories of sources: from third-party business partners such as Iterable, Mixpanel, Apple Kit, Google Fit, AppsFlyer, social media sites, ad networks, and analytics providers.||We may use or disclose the personal information we collect for one or more of the following purposes: to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which personal information held by us about our users is among the assets transferred.||We may share your personal information by disclosing it to a third party for a business purpose.||We obtain the categories of personal information listed above from the following categories of sources: directly from you.||We may use or disclose the personal information we collect for one or more of the following purposes: to monitor and analyze trends, usage, and activities in connection with our App||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.||Your request to know or delete must provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative, which may include:||When you sign up to use the App, we may collect Personal Data about you such as password or passcode you assigned to your account.||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Technical identifiers: IP address (which may also provide location information), User agent, IDFA (Identifier for advertisers), Android ID (in Android devices), Google Advertiser ID, Customer-issued user ID and other similar unique technical identifiers.||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of personal information we collected about you.||We may use or disclose the personal information we collect for one or more of the following purposes: to process your requests, purchases, transactions, and payments and prevent transactional fraud.||We may use or disclose the personal information we collect for one or more of the following purposes: to fulfill or meet the reason you provided the information.||We may use or disclose the personal information we collect for one or more of the following purposes: to create, maintain, customize, and secure your account with us.||We will only use personal information provided in the request to verify the requestor's identity or authority to make it.||We may use or disclose the personal information we collect for one or more of the following purposes: to provide you with support and to respond to your inquiries, including to investigate and address your concerns and monitor and improve our responses.||We may deny your deletion request if retaining the information is necessary for us or our service providers to Complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, fulfill the terms of a written warranty or product recall conducted in accordance with federal law, or otherwise perform our contract with you.||For example, if you share your name and contact information to ask a question about our products or services, we will use that personal information to respond to your inquiry.||We may use or disclose the personal information we collect for one or more of the following purposes: for testing, research and product development, including to develop and improve our website, Apps, products, and services.||We may use or disclose the personal information we collect for one or more of the following purposes: to respond to law enforcement requests and as required by applicable law, court order, or governmental regulations.||We may use or disclose the personal information we collect for one or more of the following purposes: as described to you when collecting your personal information or as otherwise set forth in the CCPA.",C1,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,collect,email address,"When you sign up to use the App, we may collect Personal Data about you such as email address you assign to your account; and",C2,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,collect,information about you,"Information about you may be disclosed to third parties for one or more of the following purposes: in the context of a transaction: We may share your information in connection with an asset sale, merger, bankruptcy, or other business transaction.||Information about you may be disclosed to third parties for one or more of the following purposes: with your direction or consent: We may share your information with third parties if you request or direct us to do so.||Information about you may be disclosed to third parties for one or more of the following purposes: with affiliates within our corporate group: We may share your information with any subsidiaries or parent companies within our corporate group.||Information about you may be disclosed to third parties for one or more of the following purposes: compliance with law: We may share your information with a court, a regulatory entity, law enforcement personnel, or pursuant to a subpoena, to comply with applicable law or any obligations thereunder.||Information about you may be disclosed to third parties for one or more of the following purposes: for business purposes and advertising: We may share your information with vendors and service providers, including our data hosting and data storage partners, analytics and advertising providers, and vendors providing technology services and support, payment processing, data security, and similar services.||Information about you may be disclosed to third parties for one or more of the following purposes: for other business reasons: We may share your information to enforce any applicable Terms and Conditions and Terms of Use, and to ensure the safety and security of the site and",N1,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,collect,network information,"you access or use the App or Web, we may automatically collect the following information: device Information: mobile network information.",C6,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,collect,person name,"When you sign up to use the App, we may collect Personal Data about you such as name you assign to your account.",C2,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
ipnossoft.rma.free,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice.",C1,we,collect,pii,"We may use or disclose the personal information we collect for one or more of the following purposes: to personalize your app or website experience and to deliver content and product and service offerings relevant to your interests, including targeted offers and ads through third-party sites, and via email or text message (with your consent, where required by law).||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Your subscription status;||When you sign up to use the App, we may collect Personal Data about you such as name you assign to your account.||Do we share my personal data with third-parties?||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you if we sold or disclosed your personal information for a business purpose, two separate lists disclosing:||In the preceding twelve months, we have disclosed personal information for a business purpose to the categories of third parties indicated in the chart below.||We obtain the categories of personal information listed above from the following categories of sources: indirectly from you.||When you sign up to use the App, we may collect Personal Data about you such as email address you assign to your account; and||We may use or disclose the personal information we collect for one or more of the following purposes: to provide, support, personalize, and develop our website, Apps, products, and services.||We may use or disclose the personal information we collect for one or more of the following purposes: to help maintain the safety, security, and integrity of our website, products and services, databases and other technology assets, and business.||In particular, we have collected the following categories of personal information from consumers within the last twelve months: category.||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of third parties with whom we share that personal information.||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: The fact of application launch.||You have the right to request that we disclose certain information to you about our collection and use of your personal information over the past 12 months (the ""right to know"").||We obtain the categories of personal information listed above from the following categories of sources: from third-party business partners such as Iterable, Mixpanel, Apple Kit, Google Fit, AppsFlyer, social media sites, ad networks, and analytics providers.||We may use or disclose the personal information we collect for one or more of the following purposes: to evaluate or conduct a merger, divestiture, restructuring, reorganization, dissolution, or other sale or transfer of some or all of our assets, whether as a going concern or as part of bankruptcy, liquidation, or similar proceeding, in which personal information held by us about our users is among the assets transferred.||We may share your personal information by disclosing it to a third party for a business purpose.||We obtain the categories of personal information listed above from the following categories of sources: directly from you.||We may use or disclose the personal information we collect for one or more of the following purposes: to monitor and analyze trends, usage, and activities in connection with our App||If we need to share your Personal Data with other platforms for this purpose, except as defined herein, we will ask for your consent.||In this situation, regarding personal data of European Union residents, we may transfer Personal Data to a Third Party outside the European Union after entering into a data transfer agreement with the other party/parties, based on standard contractual clauses adopted by the European Commission, or after adopting Binding Corporate Rules where necessary.||Your request to know or delete must provide sufficient information that allows us to reasonably verify you are the person about whom we collected personal information or an authorized representative, which may include:||When you sign up to use the App, we may collect Personal Data about you such as password or passcode you assigned to your account.||This is how we work the AppsFlyer/integrated ad platforms You become a user of one of our Apps, and we start sharing Personal Data, strictly limited to the following set: Technical identifiers: IP address (which may also provide location information), User agent, IDFA (Identifier for advertisers), Android ID (in Android devices), Google Advertiser ID, Customer-issued user ID and other similar unique technical identifiers.||Once we receive your request and confirm your identity (see Exercising Your Rights to Know or Delete), we will disclose to you the categories of personal information we collected about you.||We may use or disclose the personal information we collect for one or more of the following purposes: to process your requests, purchases, transactions, and payments and prevent transactional fraud.||We may use or disclose the personal information we collect for one or more of the following purposes: to fulfill or meet the reason you provided the information.||We may use or disclose the personal information we collect for one or more of the following purposes: to create, maintain, customize, and secure your account with us.||We will only use personal information provided in the request to verify the requestor's identity or authority to make it.||We may use or disclose the personal information we collect for one or more of the following purposes: to provide you with support and to respond to your inquiries, including to investigate and address your concerns and monitor and improve our responses.||We may deny your deletion request if retaining the information is necessary for us or our service providers to Complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, fulfill the terms of a written warranty or product recall conducted in accordance with federal law, or otherwise perform our contract with you.||For example, if you share your name and contact information to ask a question about our products or services, we will use that personal information to respond to your inquiry.||We may use or disclose the personal information we collect for one or more of the following purposes: for testing, research and product development, including to develop and improve our website, Apps, products, and services.||We may use or disclose the personal information we collect for one or more of the following purposes: to respond to law enforcement requests and as required by applicable law, court order, or governmental regulations.||We may use or disclose the personal information we collect for one or more of the following purposes: as described to you when collecting your personal information or as otherwise set forth in the CCPA."
ipnossoft.rma.free,we,collect,device identifier,"you access or use the App or Web, we may automatically collect the following information: device Information: unique device identifiers (e.g. IDFA).",C2,we,not_collect,pii,"We will not collect additional categories of personal information or use the personal information we collected for materially different, unrelated, or incompatible purposes without providing you notice."
com.beyondmenu,third party,collect,pii,"The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect and defend the rights or property of the Company||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to prevent or investigate possible wrongdoing in connection with the Service||We may share your personal information in the following situations: with Business partners: We may share Your information with Our business partners to offer You certain products, services or promotions.||The Company may use Personal Data for the following purposes: to manage Your Account: to manage Your registration as a user of the Service.||The Company may use Personal Data for the following purposes: to manage Your requests: To attend and manage Your requests to Us.||We may share your personal information in the following situations: with Affiliates: We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to comply with a legal obligation||We may share your personal information in the following situations: with Service Providers: We may share Your personal information with Service Providers to monitor and analyze the use of our Service, for payment processing, to contact You.||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect the personal safety of Users of the Service or the public||The Company may use Personal Data for the following purposes: to provide You with news, special offers and general information about other menu items, services and events which we offer that are similar to those that you have already purchased or enquired about unless You have opted not to receive such information.||The Company may use Personal Data for the following purposes: to provide and maintain our Service, including to monitor the usage of our Service.||The Company may use Personal Data for the following purposes: to contact You: To contact You by email, telephone calls, SMS, or other equivalent forms of electronic communication, such as a mobile application's push notifications regarding updates or informative communications related to the functionalities, products or contracted services, including the security updates, when necessary or reasonable for their implementation.||These providers use your personal information solely to carry out the services they provide to Beyond Menu.||We may share your personal information in the following situations: for Business transfers: We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of our business to another company.||The Company may use Personal Data for the following purposes: for the performance of a contract: the development, compliance and undertaking of the purchase contract for the products, items or services You have purchased or of any other contract with Us through the Service.||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect against legal liability",N1,third party,not_collect,phone number,Your mobile number will not be shared with third parties for their own marketing purposes.
